Rank,Player,Position,Team,DOB,Age,Previous Rank,+/- Change,Notes/Outlook
318,Amari Williams,C,BOS,2002-01-28,24.5,303.0,-15,"Amari Williams has some real potential here in Boston with MitchRob's injury issues. Good passer, could be a serious diamond in the rough."
319,Brook Lopez,C,LAC,1988-04-01,38.3,353.0,34,"Brook Lopez is almost done in the NBA, but he's still got some juice and will play a decent chunk of minutes with YKN still recovering from his Lisfranc injury."
320,Devin Carter,PG/SG,SAC -> ATL,2002-03-18,24.3,246.0,-74,The Kings salary dumped Devin Carter to the Hawks. There is a chance he can figure it out here as a bench guy.
321,Derrick Jones Jr.,SF/PF,LAC,1997-02-15,29.4,283.0,-38,"With the recent Clippers moves with adding Rui, it feels like DJJ could be one of the odd men out. He's still got some juice, so we'll see what happens."
322,Jose Alvarado,PG,NYK,1998-04-12,28.3,269.0,-53,Grand Theft Alvrado has been a solid contributor with the Knicks. He signed a team-friendly deal to stick around the champions. 
323,Dennis Schroder,PG/SG,CLE,1993-09-15,32.8,249.0,-74,Schroder has bounced around for a while. He's still got legs in the NBA depending on what Cleveland does with him.
324,Ron Harper Jr.,SG,BOS,2000-04-12,26.3,363.0,39,Ron Harper Jr. has had some nice flashes for Boston. I'm not sure if he's much of a long-term NBA player but I'm keeping an eye on him.
325,Tidjane Salaun,PF,CHA,2005-08-10,20.9,286.0,-39,This next year might be a make-or-break one for Salaun as Charlotte gears up with more frontcourt pieces in this upcoming draft.
326,Tim Hardaway Jr.,SG/SF,DEN -> MIA,1992-03-16,34.3,337.0,11,THJ was a 6th Man of the Year Finalist and played a key role for Denver. Expecting him to re-sign here.
327,Bogdan Bogdanovic,SG/SF,LAC -> HOU,1992-08-18,33.9,322.0,-5,It wasn't long ago that Bogdan was still a good player. Could he return to form here in Houston?
328,Drake Powell,SG/SF,BKN,2005-09-08,20.8,266.0,-62,"Powell still has a lot of potential as a 3&D wing with Brooklyn, but he hasn't showed much to date. "
329,Brandon Williams,PG/SG,DAL -> FA,1999-11-12,26.7,226.0,-103,I still believe there could be something there for Brandon Williams despite finishing below the top 250 in 9Cat on the year.
330,Kentavious Caldwell-Pope,SG/SF,MEM,1993-02-18,33.4,341.0,11,KCP is likely to be bought out or make some agreement with MEM to find a new team. Could he return to being a decent role player?
331,Luke Kornet,C,SAS,1995-07-15,31.0,219.0,-112,"Kornet has shown some stuff for fantasy, but the fact that San Antonio drafted two centers in the first round speaks volumes about his future here."
332,Jaylen Clark,SG/SF,MIN,2001-10-13,24.8,355.0,23,"Despite playing on lesser minutes, Clark is a legitimately great defender. Could he secure a bigger role this next year?"
333,Yves Missi,C,NOP,2004-05-14,22.2,272.0,-61,Missi is unfortunately buried in New Orleans given their current big situation with Derik Queen. He'll need a trade to be relevant again.
334,Adem Bona,PF/C,PHI,2003-03-28,23.3,318.0,-16,"Bona played a similar low-minute role again for the 76ers. Still a nice long-term bench piece to look at, but Andre Drummond is still good for the backup role."
335,Gradey Dick,SG/SF,TOR -> LAC,2003-11-20,22.6,332.0,-3,Gradey Dick struggled for Toronto and now gets a clean slate with the Clippers. This is has chance to find a role and salvage his career.
336,Isaiah Jackson,PF/C,LAC,2002-01-10,24.5,290.0,-46,"I don't buy IJax much as an NBA player still. Still, with YKN out indefinitely, he could snag a short-term role."
337,Kevin Huerter,SG/SF,DET,1998-08-27,27.9,279.0,-58,I don't really know why Trajan Langdon gave Kevin Huerter that contract. Hopefully he has a little juice left.
338,Harrison Barnes,SF/PF,SAS,1992-05-30,34.1,294.0,-44,Barnes still has some juice even in San Antonio. We know what he is as a boring forward who can pop on occasion.
339,Tarik Biberovic,SG/SF,MEM -> DAL,2001-01-28,25.5,NEW,NEW,"Tarik has been long rumored to want to make the NBA jump, and here he comes on a two-year deal in Dallas. 3PT shooting is the name of the game."
340,2.10 / Braden Smith,PG,IND,2003-07-25,23.0,NEW,NEW,"In theory, Braden Smith is a perfect fit for Indiana and could find something here. The issue is that Indiana's guard depth is completely full."
341,Al Horford,PF/C,GSW,1986-06-03,40.1,307.0,-34,"At 40 years old, Al Horford is somehow still kicking. With Quinten Post gone, there will be hope for him to keep playing at a good level. "
342,Grant Williams,SF/PF,CHA,1998-11-30,27.6,367.0,25,"Grant Williams tore his ACL this past year and is expected to make a full recovery. He's not a priority piece, but he might play more than we think this year."
343,Jordan Goodwin,PG/SG,PHO,1998-10-23,27.7,336.0,-7,Goodwin has had some nice moments over the year and continues to look interesting for a deep bench guy.
344,Bruce Brown,PG/SG/SF,DEN -> FA,1996-08-15,29.9,280.0,-64,"Brown has not been as good as I'd hoped returning to Denver, but he's at least playing a role again and might earn more burn as the year goes on."
345,Moritz Wagner,PF/C,ORL -> BKN,1997-04-26,29.2,381.0,36,Mo Wagner returns from his ACL injury to play a backup role in Brooklyn. He'll definitely get some run in the short term.
346,Luka Garza,PF/C,BOS,1998-12-27,27.5,323.0,-23,"As always with Luka Garza, he's got some juice on offense, but he continues to have issues on defense that make him a liability."
347,Karlo Matkovic,PF/C,NOP,2001-03-30,25.3,324.0,-23,Karlo has some interesting appeal as a floor spacer that can block shots. There's just a lot of big men in New Orleans and his opportunities are not all there.
348,Justin Edwards,SG/SF,PHI,2003-12-16,22.6,296.0,-52,Edwards could see a bump during the season with the 76ers' lackluster depth. He's occasionally shown flashes but I don't see a consistent role player here.
349,Dorian Finney-Smith,SF/PF,HOU -> CHA,1993-05-04,33.2,373.0,24,DFS lives! He was in a rough situation with injuries and a contract that aged like milk immediately. Could he bounce back this year in Charlotte?
350,Carlton Carrington,PG/SG,WAS,2005-07-21,21.0,274.0,-76,Bub is still playing poorly to close out the season and is teetering on top 300 per-game value. It might be curtains for him soon.
351,Khris Middleton,SF/PF,DAL -> WAS,1991-08-12,34.9,329.0,-22,Middleton is reaching the end of his career and was dumped to Dallas in the AD trade. He re-signed in Washington to keep mentoring their youngsters.
352,Russell Westbrook,PG/SG,SAC -> FA,1988-11-12,37.7,263.0,-89,"Russ went from almost being done as an NBA player to being the starter in Sacramento. It is Sacramento, but he does look revitalized on a bad team like this."
353,Craig Porter Jr.,PG/SG,CLE,2000-02-26,26.4,304.0,-49,CPJ is actually one of the more interesting role players out there that could be a hit if Cleveland's bench wasn't so deep. Worth a watch to see what happens.
354,Ben Saraf,PG/SG,BKN,2006-04-14,20.2,292.0,-62,"I'm not overwhelmingly confident that Ben Saraf will evolve into a good shooter, or a clearcut NHA player long term, but there is some appeal as a big guard."
355,Caleb Love,SG,POR -> PHI,2001-09-27,24.8,351.0,-4,Caleb Love burst onto the scene early for Portland with some great scoring stretches. Doesn't do much other than chuck up shots. Can he do more in Philly?
356,Johnny Furphy,SG/SF,IND,2004-12-08,21.6,344.0,-12,Furphy tore his ACL in late February. There is still some upside here but missing much-needed development time is going to hurt.
357,Julian Strawther,SG/SF,DEN,2002-04-18,24.2,314.0,-43,"Strawther's fantasy game is pretty weak, but he can shoot and could see marginal opportunities if Peyton Watson goes elsewhere."
358,Precious Achiuwa,PF/C,SAC,1999-09-19,26.8,402.0,44,"Achiuwa was struggling to make it in the NBA, but seemed to find a role with Sacramento and will stick around on a multi-year deal."
359,Tyrese Proctor,PG/SG,CLE,2004-04-01,22.3,326.0,-33,Proctor is waiting behind Craig Porter Jr. for NBA minutes. Likely won't happen for him this year unless there's injuries. 
360,Caris LeVert,SG/SF,DET -> MIL,1994-08-25,31.9,330.0,-30,Caris LeVert has been awful for a while and I'm guessing his NBA career is nearing its end after his current contract.
361,Simone Fontecchio,SF/PF,MIA,1995-12-09,30.6,342.0,-19,"With the Heat's lack of depth, Fontecchio has a little something to tap into off the bench."
362,Spencer Jones,SF/PF,DEN,2001-06-14,25.1,311.0,-51,"Spencer Jones is an innings eater (complimentary) and his fantasy output has been inconsistent, but he's playing a nice amount of minutes. Continuing to monitor him."
363,Bones Hyland,PG/SG,MIN,2000-09-14,25.8,285.0,-78,Bones Hyland revived his career with Minnesota after nearly falling out of the NBA. The team feels a bit too deep at guard for him to make much sense.
364,Landry Shamet,SG,NYK,1997-03-13,29.3,NEW,NEW,Shamet signed a deal to return to the Knicks. He stepped up this year to play a decent role.
365,Patrick Williams,SF/PF,CHI,2001-08-26,24.9,361.0,-4,There's a very compelling case that Patrick Williams is one of the worst players in the NBA right now.
366,Marcus Sasser,PG/SG,DET -> DAL,2000-09-21,25.8,427.0,61,I was kind of out on Sasser before the Dallas trade. Now? I might be a liiiittle moved and will be watching this.
367,Isaac Okoro,SG/SF,CHI,2001-01-26,25.5,346.0,-21,Okoro is what he is at this stage in his career. Chicago will use him some but don't expect anything for fantasy.
368,Sion James,SG/SF,CHA,2002-12-04,23.6,343.0,-25,Charlotte has found a potential multi-year role player in Sion James. He's mostly an empty calories/innings eater type.
369,Andre Drummond,C,PHI -> FA,1993-08-10,32.9,325.0,-44,"I don't know how he does it, but Andre Drummond continues to survive and deliver some quality play in philly. "
370,Gary Payton II,PG/SG,GSW -> FA,1992-12-01,33.6,386.0,16,We know what it is with GP2 at this point. Solid IRL rotation guy but he can't do much of anything for fantasy aside from the steals.
371,Jamal Cain,SG/SF,ORL,1999-03-20,27.3,416.0,45,Jamal Cain was genuinely very good for Orlando in the playoffs and has bought himself a few more years in the NBA as an energy guy.
372,Jonas Valančiūnas,C,DEN -> FA,1992-05-06,34.2,320.0,-52,"There is a strong possibility that JV is leaving the NBA this or next year. If he stays, he remains a deep league hold for contenders as Jokic's backup."
373,Jordan Hawkins,SG/SF,NOP,2002-04-29,24.2,366.0,-7,Hawkins is mostly just a 3PT specialist and nothing more. He's mainly just a rotation piece at this point.
374,Kevon Looney,PF/C,NOP -> LAL,1996-02-06,30.4,404.0,30,Kevon Looney is seemingly pretty washed after last year in New Orleans. Not loving him as the primary backup at center if the Knicks lose MitchRob.
375,Jamaree Bouyea,PG/SG,PHO,1999-06-27,27.0,312.0,-63,"Bouyea is locked into the Suns for this next season. Phoenix has a lot of depth, but is there a possible Bouyea breakout here?"
376,Myron Gardner,SF/PF,MIA,2001-05-21,25.1,428.0,52,The Heat always manage to find one of these guys who breaks the undrafted mold. Is Myron Gardner one? He's had some OK moments.
377,Mouhamed Gueye,PF/C,ATL,2002-11-09,23.7,300.0,-77,"Gueye has been a nerd favorite in years' past, but I don't see much for him moving forward unless he takes a jump or is traded."
378,Josh Green,SG/SF,CHA -> MIN,2000-11-16,25.7,384.0,6,"There is a chance Josh Green could play a meaningful role in Minnesota if there's injuries to their other wings, but he's essentially just a cardio guy with little to offer."
379,Jeremy Sochan,SF/PF,NYK -> FA,2003-05-20,23.2,256.0,-123,"Sochan was waived by San Antonio and picked up by New York. He'll have to hope someone takes a cheap flier on him this summer, but it's not looking good."
380,Tyler Kolek,PG/SG,NYK,2001-03-27,25.3,321.0,-59,"In the Pantheon of quirked up white boys, Kolek is decently up there in the NBA section. To date though, he's yet to earn a consistent role with the Knicks."
381,Jarred Vanderbilt,SF/PF/C,LAL,1999-04-03,27.3,388.0,7,"Vanderbilt is a way better IRL player than fantasy, and even then, he's not doing much on either front."
382,Daeqwon Plowden,SG/SF,SAC,1998-08-29,27.9,NEW,NEW,"Plowden showed some real stuff for Sacramento, and I don't think it was just Silly Season stuff. "
383,Matisse Thybulle,SG/SF,POR -> FA,1997-03-04,29.4,358.0,-25,We know who Matisse Thybulle as a defender. Remains to be seen if a contender picks him up.
384,Jaxson Hayes,C,LAL -> UTA,2000-05-23,26.1,370.0,-14,Hayes and Walker Kessler basically swap spots. Hayes will be a backup big to Jusuf Nurkic. I'm hoping there's another trade coming here.
385,Johni Broome,PF/C,PHI,2002-07-19,24.0,335.0,-50,"Broome was a brutal pick for Philly. Didn't like it at the time, makes it even worse as the 4th big behind Embiid, Bona and Hukporti. "
386,Gary Trent Jr.,SG/SF,MIL -> FA,1999-01-18,27.5,354.0,-32,The hope is that Gary Trent Jr. ends up on a decent team that gives him a one-year flier. He might be about done in the NBA.
387,Taurean Prince,SF/PF,MIL -> DET,1994-03-22,32.3,406.0,19,"Prince got traded to Detroit to clear up roster space in Milwaukee. Real chance he plays an actual, albeit small, role."
388,Trendon Watford,PF/C,PHI -> FA,2000-11-09,25.7,352.0,-36,Watford has been a bench piece with occasional flashes this year. Nothing crazy but can pop off and has some good passing to his game.
389,Rayan Rupert,SG/SF,MEM -> PHI,2004-05-31,22.1,399.0,10,Rupert showed some legit flashes at a lot of points in his career. Him and Caleb Love had good synergy in Portland. Could he be something here in Philly?
390,Tristan Vukcevic,PF/C,WAS,2003-03-11,23.3,302.0,-88,"As usual, Vukcevic continues to tease good fantasy play here and there. He may not ever be a full-time NBA player."
391,Terance Mann,SG/SF,BKN,1996-10-18,29.7,328.0,-63,Mann is one of the quintessential master of none who can do a couple things OK. Not much to say about him.
392,Kam Jones,PG/SG,IND -> CHI - MIL,2002-02-25,24.4,295.0,-97,I think it's telling that Indiana was ready to move on from Kam Jones so fast. Milwaukee could be an interesting spot for him.
393,Alijah Martin,SG,TOR,2001-12-26,23.8,395.0,2,"Martin is smaller and lacks a clear high-end NBA skill to make up for size, but his energy and pure athleticism is solid. He got himself a guaranteed deal this summer."
394,Charles Bassey,C,GSW,2000-10-28,25.7,NEW,NEW,He's baaaack. Bassey heads to Golden State where he could potentially snatch a role as a third big.
395,Nae'Qwan Tomlin,PF,CLE,2000-12-10,25.6,375.0,-20,Tomlin really impressed me at Summer League and is starting to break into CLE's rotation a bit. Keep an eye on him.
396,Micah Peavy,SG/SF,NOP,2001-07-16,24.8,394.0,-2,Peavy has some good role player stuff despite being a poor shooter/offensive player to date. Could be something to watch in deep leagues.
397,Dru Smith,SG,MIA,1997-12-30,28.5,434.0,37,"Not much to say here about Dru Smith. Can't shoot, can defend. Don't know how he fits into the equation in Miami."
398,Klay Thompson,SG/SF,DAL,1990-02-08,36.4,350.0,-48,Klay's time in the NBA is nearing its end after a career-worst year. He's just 74 away from overtaking Ray Allen with the 3rd most 3's all-time.
399,Josh Okogie,SG/SF,HOU -> UTA,1998-09-01,24.8,NEW,NEW,An interesting move for Utah as Okogie heads out to SLC with a 2-year deal in hand. Good defender. Could we see him get any run?
400,Ochai Agbaji,SG/SF,BKN -> FA,2000-04-20,26.2,371.0,-29,"Ochai isn't anything special on the court, but we might see him get a one-year minimum and contribute something. Might just be an end-of-bench or G Leaguer."
401,Buddy Hield,SG/SF,ATL,1992-12-17,33.6,376.0,-25,Buddy is mega washed at this point. He shot poorly last season and looks like he has no chance to be anything but salary trade filler in ATL.
402,Aaron Holiday,PG/SG,HOU,1996-09-30,29.8,415.0,13,"The guard room in Houston got pretty deep, but Aaron Holiday has managed to hang around for a bit."
403,Jericho Sims,C,MIL,1998-10-20,27.7,405.0,2,Jericho Sims is buried in Milwaukee and their weird depth chart. Don't see him ever being relevant again.
404,Mike Conley,PG/SG,MIN -> BOS,1987-10-11,38.8,391.0,-13,"Old Man Conley's still kicking, long after the NBA has moved on from his archetype. He ends up in Boston for (probably) one last ride."
405,Rocco Zikarsky,C,MIN,2006-07-11,19.2,327.0,-78,"Rocco needs a ton of time to keep developing, but early G League returns have been pretty good so far. I just don't know if he's ever a full-time NBA player."
406,D'Angelo Russell,PG/SG,WAS -> MEM,1996-02-23,30.4,348.0,-58,DLo is on what might be his last chance to keep the career and name recognition standing. He's been dumped to two different teams so far in 2026.
407,Cam Thomas,SG,FA,2001-10-13,24.8,309.0,-98,"Thomas found his way out of the NBA pretty quickly after being waived by Brooklyn. Get ready to learn Chinese, buddy. "
408,Ariel Hukporti,C,NYK -> PHI,2002-04-11,24.3,430.0,22,Hukporti heads to Philly to be the third big behind Joel Embiid and Adem Bona. He'll get some burn if Embiid gets hurt.
409,Ziaire Williams,SF/PF,BKN -> FA,2001-09-12,24.8,333.0,-76,"Ziaire's time in Brooklyn is coming to an end. The hope is someone desperate like the Lakers give him a shot and he finds a role, but I'm not sure it happens."
410,Zach Collins,PF/C,CHI,1997-11-19,28.6,408.0,-2,"Zach Collins got himself another payday in Chicago, to my surprise. He'll be the third big behind Nic Claxton and Jalen Smith."
411,Pat Spencer,PG/SG,GSW -> PHO,1996-07-04,30.0,347.0,-64,"I love Spencer's landing spot in Phoenix, but can he get some run here with how deep their guard room is?"
412,Kyle Anderson,SF/PF,MIN -> TOR,1993-09-20,32.8,411.0,-1,SloMo heads to Toronto as an end-of-bench piece. Not a ton left in the tank these days.
413,Brooks Barnhizer,SG/SF,OKC,2002-03-02,23.6,368.0,-45,I think Brooks Barnhizer has shown some good fantasy appeal. I don't think he's got a big chance of being a full-time NBA player but there is something here.
414,Jordan Clarkson,PG/SG,NYK,1992-06-07,34.1,393.0,-21,Clarkson played a role for New York this year and got rewarded with a multi-year contract.
415,Julian Reese,PF/C,WAS,2003-06-30,23.0,383.0,-32,Julian Reese has been a Silly Season hero with how he's played for Washington. Could he end up as a longer term deep bench guy?
416,Jaden Ivey,PG/SG,FA,2002-02-13,24.4,299.0,-117,"After the whole Jaden Ivey debacle, the important thing is that he's healthy physically and mentally. A journey back into the NBA is possible."
417,Bronny James,SG,LAL,2004-10-06,21.8,396.0,-21,"Bronny's shown some occasional NBA stuff, but I don't see much for him. Guessing he's traded wherever LeBron goes."
418,Kenrich Williams,PF,OKC,1994-12-02,31.6,437.0,19,"Kenny Hustle returns to OKC with the good vibes. End-of-bench guy at this point, but he's still got some juice."
419,Corey Kispert,SG/SF,ATL,1999-03-03,27.4,319.0,-100,Corey Kispert is running out of time as an NBA player and I don't see much of a relevant role for him in Atlanta moving forward.
420,Ben Sheppard,SG/SF,IND,2001-07-16,25.0,331.0,-89,"Ben Sheppard has showed some stuff here and there for Indiana. Unfortunately, I don't think he's much more than an end-of-bench guy."
421,Javonte Green,SG/SF,DET,1993-07-23,33.0,410.0,-11,Green has played a small role for Detroit almost all year and looked OK doing so. Almost no upside here.
422,Dalton Knecht,SG/SF,LAL,2001-04-19,25.2,380.0,-42,Knecht is arguably one of the worst players in the NBA and his career might be close to over at 25 (his second season).
423,Nick Richards,C,CHI -> FA,1997-11-29,28.6,360.0,-63,Nick Richards has flashed at different spots over the year. I think he's worth a spin on a one-year minimum.
424,Chaz Lanier,SG/SF,DET,2001-12-19,23.8,420.0,-4,Lanier is a pretty meh fantasy player for me. Mostly will just be shooting 3s and not much else. He'll be a better IRL player than a fantasy player. 
425,Vince Williams Jr.,SG/SF/PF,FA,2000-08-30,25.9,308.0,-117,"Vince has had a tough run recently with the trade to Utah, tearing his ACL and getting waived. I'm still hopeful for him breaking back in when healthy."
426,Jonathan Isaac,SF/PF,ORL,1997-10-03,28.8,392.0,-34,Jonathan Isaac was waived and subsequently picked back up in Orlando on a cheap deal. Don't think there's much here.
427,Quenton Jackson,PG/SG,IND,1998-09-15,27.8,397.0,-30,"Jackson has flashed plenty for Indiana over the years. Unfortunately, they're so deep at guard that Jackson is unlikely to ever get his fair shot here."
428,Elijah Harkless,SG,UTA -> DET,2000-02-03,26.4,362.0,-66,I was shocked to find out that Elijah Harkless left Utah and signed a two-way deal with Detroit. He's a sleeper to watch.
429,Alex Toohey,SF/PF,GSW,2004-05-05,21.4,400.0,-29,"Toohey had a bad start to his NBA career following an ACL tear, but I still have hope he can be an NBA player."
430,Jahmai Mashack,SG/SF,MEM,2002-11-10,23.7,441.0,11,Mashack is stuck and buried deep in Memphis. He definitely seems like he could be a legit NBA player.
431,Koby Brea,SG/SF,PHO,2002-11-06,23.7,390.0,-41,"Koby Brea might be a role player that can't do a ton offensively, but he more than makes up for it as a pure 3PT specialist who's shot 43.4% from 3 in his CBB career."
432,Thomas Bryant,C,CLE,1997-07-31,29.0,438.0,6,"We know what it is with Thomas Bryant. Dude is not very good, but as a third big, sure, I guess. "
433,Larry Nance Jr.,PF/C,CLE -> IND,1993-01-01,33.5,449.0,16,Nance heads to Indiana as just a likely locker room guy. Always wondering if he's got any of his vintage game left.
434,Pacome Dadiet,SF/PF,NYK,2005-07-27,21.0,382.0,-52,Pacome Dadiet has yet to show anything yet for the Knicks. The hope is he can be traded and show some signs of life.
435,Trayce Jackson-Davis,PF/C,TOR,2000-02-22,26.4,403.0,-32,TJD has fallen off the map this past year and barely played for either of Toronto or Golden State. Does he still have a shot to be an NBA player?
436,Jonathan Mogbo,PF/C,TOR -> SAC,2001-10-29,24.7,374.0,-62,"I had hopes for Jonathan Mogbo finding a role in the NBA despite being a funky fitting player. Following his waiving from Toronto, I don't see him being a full-time NBA player again. "
437,Cam Whitmore,SF,WAS,2004-07-08,22.0,338.0,-99,Whitmore fell out of favor in Washington this past year and was diagnosed with DVT. He'll have one last year to prove himself as an NBA player. 
438,Jaden Hardy,SG/SF,WAS -> LAL,2002-07-05,24.0,387.0,-51,"Jaden Hardy got sent to LA in the DeAndre Ayton. Before anyone asks: No, I don't think this is a diamond in the rough for the Lakers. "
439,AJ Johnson,PG/SG,DAL -> MEM,2004-12-01,21.6,377.0,-62,"I hate giving up on players we've just barely seen play, but AJ Johnson is unlikely to ever be a full-time NBA player. He still has so much rawness to his game."
440,Kris Murray,SF/PF,POR -> MEM,2000-08-19,25.9,417.0,-23,Murray was just in the Ja Morant trade to make the money work. I don't expect him to play much here (if at all).
441,Jett Howard,SG/SF,ORL -> FA,2003-09-14,22.8,413.0,-28,"If you want to hold out any hope for another second team opportunity guy, maybe Jett Howard can be one. He's struggled to do anything for Orlando."
442,Caleb Martin,SG/SF,DAL,1995-09-28,30.8,424.0,-18,"Caleb Martin has barely played and been bad when he has for Dallas. Another masterful gambit, Nico Harrison."
443,Svi Mykhailuk,SF/PF,UTA,1997-06-10,29.1,365.0,-78,"Svi has flashed pretty often for Utah in his time there, but with Utah gearing up in a big way, I don't see him playing much for them again."
444,Juan Nunez,PG,SAS,2004-06-04,22.1,448.0,4,It remains to be seen if and when Nunez ever comes over. He has had some concerning knee injuries that I'm keeping an eye on.
445,Tre Mann,PG/SG,CHA,2001-02-03,25.4,364.0,-81,"Unfortunately, aura can't save your career. Tre Mann's full-time NBA career is pretty much done."
446,Taelon Peter,SG,IND,2002-02-27,23.6,440.0,-6,Taelon Peter hasn't shown much yet for the Pacers after snagging him in the late 2nd round in 2025. His shooting could get him some looks still.
447,Clint Capela,C,HOU,1994-05-18,32.2,385.0,-62,Clint Capela is mostly just an end-of-bench player at this point (which is wild to say). Not likely to be much in the NBA again.
448,Lonzo Ball,PG/SG,FA,1997-10-27,28.7,349.0,-99,"Lonzo Ball might be done as an NBA player, unfortunately. He has a case for one of the worst players in the NBA playing real minutes last year."
449,Olivier Maxence-Prosper,SF/PF,MEM,2002-07-03,24.0,432.0,-17,OMax flashed some stuff this past season during Silly Season. Not sure he's ever going to be a full-time NBA guy.
450,Jalen Wilson,SF/PF,BKN -> FA,2000-11-04,25.7,426.0,-24,Jalen Wilson will be looking for a new team this summer after Brooklyn declined his QO. 
