,,,,,,,,,
,#,Player,Position,Team,DOB,Age (4/5/26),Previous Rank, +/- Change,Notes/Outlook
,328,Terance Mann,SG/SF,BKN,10/18/1996,29.5,292,-36,"Nothing Mann is doing is all that ""real"", but he is proving some value to Brooklyn and fantasy managers in deep leagues."
,329,Khris Middleton,SF/PF,DAL,8/12/1991,34.7,286,-43,Middleton is reaching the end of his career and was dumped to Dallas in the AD trade. Hard to say if he hangs it up soon or goes ring chasing.
,330,Caris LeVert,SG/SF,DET,8/25/1994,31.6,275,-55,LeVert gets buckets and did just that for Atlanta. I'm curious how he fares for Detroit and what his role can look like.
,331,Ben Sheppard,SG/SF,IND,7/16/2001,24.8,309,-22,"I always liked Ben Sheppard, but he's been really bad this year. Hoping he bounces back later in the year."
,332,Gradey Dick,SG/SF,TOR,11/20/2003,22.4,243,-89,Gradey Dick needs a trade to salvage his career at this point. He's just continued to struggle for Toronto.
,333,Ziaire Williams,SF/PF,BKN,9/12/2001,24.6,324,-9,Ziaire Williams has been an interesting discovery by the Nets after he didn't work out in Brooklyn. Not expecting much after this season.
,334,Jock Landale,C,ATL,10/25/1995,30.5,298,-36,Landale has played some decent ball for Atlanta and will likely stick around as a backup/3rd stringer.
,335,Johni Broome,PF/C,PHI,7/19/2002,23.7,310,-25,"Broome has an appealing fantasy game that should pop with his playmaking, but it appears that Bona and Drummond are the backups for now."
,336,Jordan Goodwin,PG/SG,PHO,10/23/1998,27.5,409,73,Goodwin has had some nice moments over the year and continues to look interesting for a deep bench guy.
,337,Tim Hardaway Jr.,SG/SF,DEN,3/16/1992,34.1,323,14,"Sometimes, doing this clues you into things you had no idea about. Exhibit A: THJ is 192nd per game over the last 2 months."
,338,Cam Whitmore,SF/PF,WAS,7/8/2004,21.8,256,-82,"Whitmore fell out of favor in WAS and was diagnosed with DVT. Nowadays, this is not a big concern, but it is still worth noting that it could impact his career."
,339,Marvin Bagley III,PF/C,WAS,3/14/1999,27.1,364,25,Bagley will forever be known as the guy drafted before Luka Doncic. He's still not very good but he's doing a little for the Wizards still.
,340,Ja'Kobe Walter,SG/SF,TOR,9/4/2004,21.6,358,18,My sentiment that Walter is of little interest to me for fantasy remains the case - but he has had good NBA looks when the 3PT shot can fall.
,341,Kentavious Caldwell-Pope,SG/SF,MEM,2/18/1993,33.2,NEW,NEW,"Somehow, I've left KCP off previous updates. He's locked into Memphis on a player option. Could he be a sneaky bounceback guy next year?"
,342,Simone Fontecchio,SF/PF,MIA,12/9/1995,30.4,338,-4,I like Simone as a rotation shooter. I could easily see him looking really good for Miami and could get a legit role with Haywood Highsmith out to open the season.
,343,Sion James,SG/SF,CHA,12/4/2002,23.4,294,-49,Charlotte has found a potential multi-year role player in Sion James. He's mostly an empty calories/innings eater type.
,344,Johnny Furphy,SG/SF,IND,12/8/2004,21.4,291,-53,Furphy tore his ACL in late February. There is still some upside here but missing much-needed development time is going to hurt.
,345,Malik Beasley,SG/SF,FA,11/26/1996,29.4,281,-64,"It remains to be seen if Beasley is coming back to the NBA soon after saying he'd be signing with a team ""soon""."
,346,Isaac Okoro,SG/SF,CHI,1/26/2001,25.2,334,-12,Okoro is what he is at this stage in his career. Chicago will use him some but don't expect anything for fantasy.
,347,Pat Spencer,PG/SG,GSW,7/4/1996,29.8,361,14,Both these Spencer brothers can really hoop! Pat has had some massive games for the Warriors this year.
,348,D'Angelo Russell,PG/SG,WAS,2/23/1996,30.1,272,-76,DLo is on what might be his last chance to keep the career and name recognition standing. He was dumped to Washington in the AD trade.
,349,Lonzo Ball,PG/SG,FA,10/27/1997,28.5,257,-92,Lonzo Ball is not currently signed to a team and will have to see if he's still worth the shot next year. Shame how his career has gone.
,350,Klay Thompson,SG/SF,DAL,2/8/1990,36.2,341,-9,"Klay's value is really only in the name at this point. He's about done after this year, I'd imagine."
,351,Caleb Love,SG,POR,9/27/2001,24.6,NEW,NEW,Caleb Love burst onto the scene early for Portland with some great scoring stretches. Doesn't do much other than chuck up shots.
,352,Trendon Watford,PF/C,PHI,11/9/2000,25.4,297,-55,Watford has been a bench piece with occasional flashes this year. Nothing crazy but can pop off and has some good passing to his game.
,353,Brook Lopez,C,LAC,4/1/1988,38.0,336,-17,Brook Lopez is coming up on the end of his career. I don't see much for him after this year if he somehow doesn't retire.
,354,Gary Trent Jr.,SG/SF,MIL,1/18/1999,27.2,273,-81,"For what it's worth, GTJ is shooting over 40% from 3 and continues to do that well. He's doing quite well for making pennies relative to other NBA vets."
,355,Jaylen Clark,SG/SF,MIN,10/13/2001,24.5,301,-54,I'm very high on Jaylen Clark's future. He's looked excellent in MIN's rotation and the fact that a stickler like HC Chris Finch trusts him is reason enough to buy in early. 
,356,Steven Adams,C,HOU,7/20/1993,32.7,316,-40,Adams was a big IRL loss for Houston when he got season-ending ankle surgery back in January.
,357,Brandon Clarke,PF/C,MEM,9/19/1996,29.6,329,-28,"Clarke may never be fully healthy again, unfortunately. He was arrested this past week and we're waiting to see how things go from here."
,358,Matisse Thybulle,SG/SF,POR,3/4/1997,29.1,335,-17,Thybulle was MIA essentially all year. Let's hope we see him soon and return to form as a strong defender this next year.
,359,Paul Reed,PF/C,DET,6/14/1999,26.8,340,-19,One thing about BBall Paul? He's always going to have some random explosions per year and he's had a few for Detroit already.
,360,Nick Richards,C,CHI,11/29/1997,28.4,318,-42,Richards is fine as a backup big man. He's barely played for Chicago since being traded.
,361,Patrick Williams,SF/PF,CHI,8/26/2001,24.6,314,-47,"There's a very compelling case that Patrick Williams is one of the worst players in the NBA right now, but by virtue of his contract, there will always be minutes."
,362,Elijah Harkless,SG,UTA,2/3/2000,26.2,NEW,NEW,"Harkless may be getting burn during Silly Season, but Utah has been better with him on the court and he's stuck around a while. I think this could be a possible guy."
,363,Ron Harper Jr.,SG,BOS,4/12/2000,26.0,NEW,NEW,Ron Harper Jr. has had some nice flashes for Boston. I'm not sure if he's much of a long-term NBA player but I'm keeping an eye on him.
,364,Tre Mann,PG/SG,CHA,2/3/2001,25.2,302,-62,"Mann is unfortunately buried in Charlotte, but there's unlikely to be much interest in his services moving forward."
,365,Svi Mykhailuk,SF/PF,UTA,6/10/1997,28.9,379,14,Svi has not only been servicable for Utah this year but also looked better than average.
,366,Jordan Hawkins,SG/SF,NOP,4/29/2002,24.0,320,-46,Hawkins is mostly just a 3PT specialist and nothing more. He's mainly just a rotation piece at this point.
,367,Grant Williams,SF/PF,CHA,11/30/1998,27.4,389,22,"Grant Williams tore his ACL this past year and is expected to make a full recovery. He's not a priority piece, but he might play more than we think this year."
,368,Brooks Barnhizer,SG/SF,OKC,3/2/2002,23.6,321,-47,I don't really expect Barnhizer to play much with how deep this roster is but the fantasy profile is intriguing. He's been killing it in the G League so far.
,369,Dean Wade,SF/PF,CLE,11/20/1996,29.4,359,-10,Wade was a great undrafted gem for the Cavs and plays a steady bench role. Really good IRL player but essentially a cardio guy for fantasy purposes.
,370,Jaxson Hayes,PF/C,LAL,5/23/2000,25.9,375,5,Most of us knew that Hayes isn't really an NBA-caliber player and stunk in the playoffs. The Lakers will replace him as a starter with Ayton.
,371,Ochai Agbaji,SG/SF,TOR,4/20/2000,26.0,328,-43,Agbaji might sink more into the rotation with their additions and everyone healthy this year. Not expecting much from him. Very boring fantasy player.
,372,Cole Anthony,PG/SG,FA,5/15/2000,25.9,300,-72,Anthony is close to done as an NBA player following his waiving after being traded to Phoenix. 
,373,Dorian Finney-Smith,SF/PF,HOU,5/4/1993,33.0,319,-54,DFS has become a bad player and is arguably among the worst in the entire league at this point.
,374,Jonathan Mogbo,PF/C,TOR,10/29/2001,24.5,327,-47,Mogbo has still yet to do much this year. I still have some hope for him but the better version of him (Collin Murray-Boyles) is the priority.
,375,Nae'Qwan Tomlin,PF,CLE,12/10/2000,25.4,349,-26,Tomlin really impressed me at Summer League and is starting to break into CLE's rotation a bit. Keep an eye on him.
,376,Buddy Hield,SG/SF,GSW,12/17/1992,33.3,337,-39,"It's been an unusual year for Buddy, who is having his worst 3PT shooting season ever so far. He may be close to the end."
,377,AJ Johnson,PG/SG,DAL,12/1/2004,21.4,343,-34,"AJ Johnson still has talent to tap into, but he's barely played aside from blowouts or miniscule stretches. "
,378,Tyus Jones,PG/SG,DEN,5/10/1996,29.9,330,-48,Tyus Jones has been downright awful this year. It's possible that this is his last year in the NBA as a full-time player.
,379,Haywood Highsmith,SF/PF,PHO,12/9/1996,29.4,355,-24,Highsmith is now playing for Phoenix. Hopeful he can eventually pick up a role but his career might be close to done.
,380,Dalton Knecht,SG/SF,LAL,4/19/2001,25.0,322,-58,Knecht is arguably one of the worst players in the NBA and his career might be close to over at 25 (his second season).
,381,Moritz Wagner,PF/C,ORL,4/26/1997,29.0,342,-39,Mo Wagner was done for the season after an ACL tear. We should expect him to make a full recovery and return to form in Orlando this summer.
,382,Pacome Dadiet,SF/PF,NYK,7/27/2005,20.7,367,-15,Dadiet is a great investment for a multi-year rebuild. Could he be a good piece in a few years if the Knicks get priced out of bench guys?
,383,Julian Reese,PF,WAS,6/30/2003,22.8,NEW,NEW,Julian Reese has been a Silly Season hero with how he's played for Washington. He's not a long term guy.
,384,Josh Green,SG/SF,CHA,11/16/2000,25.4,357,-27,Josh Green has been incredibly underwhelming in Charlotte and just seems like a cardio role player. I question whether him or Sion James are better going forward.
,385,Clint Capela,C,HOU,5/18/1994,31.9,365,-20,Capela isn't likely to play much in his career ever again unless Houston has too many injuries.
,386,Gary Payton II,PG/SG,GSW,12/1/1992,33.4,386,0,We know what it is with GP2 at this point. Solid IRL rotation guy but he can't do much of anything for fantasy aside from the steals.
,387,Jaden Hardy,SG/SF,DAL,7/5/2002,23.8,399,12,Hardy stuck around in Dallas on a cheap 3-year deal this past summer. He's a strong scorer with very little else to offer. He's like Cam Thomas (derogatory).
,388,Jarred Vanderbilt,SF/PF/C,LAL,4/3/1999,27.0,339,-49,"Vanderbilt is a way better IRL player than fantasy, and even then, he's not doing much on either front."
,389,Kelly Olynyk,PF/C,SAS,4/19/1991,35.0,344,-45,"Kelly Olynyk used to command tanks, but he may be done doing that in San Antonio with Wemby leading the competitive Spurs."
,390,Koby Brea,SG/SF,PHO,11/6/2002,23.4,372,-18,"Koby Brea might be a role player that can't do a ton offensively, but he more than makes up for it as a pure 3PT specialist who's shot 43.4% from 3 in his CBB career."
,391,Mike Conley,PG/SG,MIN,10/11/1987,38.5,348,-43,We're approaching the end for Mike Conley. He's starting to be phased out at large despite some good games and shooting over 40% from 3.
,392,Jonathan Isaac,SF/PF,ORL,10/3/1997,28.5,353,-39,Isaac has scored 2.6 points per game this year in 52 games. He's been a shell of himself for so long now.
,393,Jordan Clarkson,PG/SG,NYK,6/7/1992,33.9,363,-30,We know what Clarkson is by now: rough 9Cat player but money for points leagues. Played a real role for NYK at points.
,394,Micah Peavy,SG/SF,NOP,7/16/2001,24.8,383,-11,"Peavy has the size, potential shooting, and fundamental skills to overcome limitations. Could be an intriguing sleeper depending on if NOLA has injuries"
,395,Alijah Martin,SG,TOR,12/26/2001,23.8,382,-13,"Martin is smaller and lacks high-end skills, but his energy and pure athleticism is solid. He's playing well for the 905 Raptors right now."
,396,Bronny James,SG,LAL,10/6/2004,21.5,388,-8,Bronny has not played much this year to the surprise of almost no one. Still might be worth watching.
,397,Quenton Jackson,PG/SG,IND,9/15/1998,27.6,NEW,NEW,"Jackson has flashed plenty for Indiana over the years. Unfortunately, they're so deep at guard that Jackson is unlikely to ever get his fair shot."
,398,Bogoljbub Markovic,PF,MIL,7/12/2005,20.2,430,32,"Bogo is about 2-3 years away from being an NBA player and will stay overseas as a stash, so I don't see him being worth an early 2nd round pick in rookie drafts at all."
,399,Rayan Rupert,SG/SF,MEM,5/31/2004,21.9,404,-5,"Not sure if Rupert is ever going to be a full-time NBA player, but he was really sharp this summer and has always shown flashes."
,400,Alex Toohey,SF/PF,FA,5/5/2004,21.4,422,22,Toohey has been waived by the Warriors following the announcement he would be out for the season. Still think there's an NBA player here.
,401,John Tonje,SG/SF,BOS,4/23/2001,24.5,351,-50,John Tonje is a Dizzle Dynasty favorite. He's flashed some good scoring in the G League. Still has a chance to be an NBA contributor at some point.
,402,Precious Achiuwa,PF/C,SAC,9/19/1999,26.6,402,0,Achiuwa is struggling to make it in the NBA. He's currently with Sacramento but already bounced around multiple teams this season.
,403,Trayce Jackson-Davis,PF/C,GSW,2/22/2000,26.2,346,-57,"TJD is still playing very small, insignificant minutes for the Warriors despite doing well as a rookie."
,404,Kevon Looney,PF/C,NOP,2/6/1996,30.2,373,-29,"Troy Weaver and his fetish for centers needs to be studied. Don't know how much he plays alongside Queen, Missi and others."
,405,Jericho Sims,C,MIL,10/20/1998,27.5,393,-12,"Sims is just an athlete and nothing more. Great bounce but not much skill. The Bucks are pretty rough depth wise, so maybe he gets some real looks this year."
,406,Taurean Prince,SF/PF,MIL,3/22/1994,32.1,394,-12,"Pretty average rotation guy in general, but Prince gets good minutes in Milwaukee due to their bench. He's a good value this deep."
,407,Pete Nance,PF/C,MIL,2/19/2000,26.2,NEW,NEW,"The younger brother of Larry Nance Jr., Pete Nance will largely be known as the guy Milwaukee cut Cam Thomas for unless he surprises in the NBA."
,408,Zach Collins,PF/C,CHI,11/19/1997,28.4,381,-27,"Collins has had some fine fantasy play in the past few years, but he's about done once his contract is up next summer. "
,409,Tyrese Martin,SG,PHI,3/7/1999,27.1,371,-38,Martin has stuck around the NBA and keeps finding jobs. He's currently on the 76ers and getting almost no burn.
,410,Javonte Green,SG/SF,DET,7/23/1993,32.7,NEW,NEW,Green has played a small role for Detroit almost all year and looked OK doing so. Almost no upside here.
,411,Kyle Anderson,SF/PF,MIN,9/20/1993,32.6,418,7,SloMo's back in Minnesota and getting some burn here. We know what to expect at this point. 
,412,Tyler Smith,SF/PF/C,DAL,11/2/2004,21.5,377,-35,"I still have shreds of hope left for Tyler Smith, whose rights are now owned by Dallas. Could he possibly emerge with some time to develop?"
,413,Jett Howard,SG/SF,ORL,9/14/2003,22.6,376,-37,"If you want to hold out any hope for another second team opportunity guy, maybe Jett Howard can be one. He's struggled to do anything for Orlando."
,414,Sidy Cissoko,SG/SF,POR,4/2/2004,22.0,NEW,NEW,"Cissoko finally broke the mold and found a role in Portland for a bit, but he's been brutal since the trade deadline. I fear he's not an NBA player."
,415,Aaron Holiday,PG/SG,HOU,9/30/1996,29.5,368,-47,One of the brothers of Jrue Holiday. Actually still decent when he does get the minutes here and there.
,416,Jamal Cain,SG/SF,ORL,3/20/1999,27.1,NEW,NEW,Cain signed a non-guaranteed NBA contract. Don't think there's really much here to gleam at.
,417,Kris Murray,SF/PF,POR,8/19/2000,25.7,380,-37,I think there's a real possibility Kris Murray might not stick in the NBA. Once had hope for him on a contender.
,418,Blake Wesley,PG/SG,POR,3/16/2003,23.1,369,-49,"Wesley has failed to do much of anything at the NBA level to date, and he ends up in Portland to ride the bench."
,419,KJ Simpson,PG/SG,DEN,8/8/2002,23.7,362,-57,"Simpson was waived by Charlotte and came over to Denver. Liked him as a prospect, but he's not going to be a full-time NBA guy."
,420,Chaz Lanier,SG/SF,DET,12/19/2001,23.8,398,-22,Lanier is a pretty meh fantasy player for me. Mostly will just be shooting 3s and not much else. He'll be a better IRL player than a fantasy player. 
,421,PJ Hall,PF/C,FA,2/21/2002,24.2,387,-34,PJ Hall has bounced from the Hornets to Grizzlies and come back to the Hornets this week. Still hoping he could emerge at some point.
,422,John Konchar,SG/SF,UTA,3/22/1996,30.1,420,-2,"Konchar is a fun role player when he gets looks, but he's really just a body at this point for teams."
,423,Josh Okogie,SG/SF,HOU,9/1/1998,27.6,392,-31,Okogie's fine for what he is as a defensive-minded wing in low minutes. He's a vet minimum player without much fantasy upside.
,424,Caleb Martin,SG/SF,DAL,9/28/1995,30.6,390,-34,"Caleb Martin has barely played and been bad when he has for Dallas. Meanwhile, Quentin Grimes has looked good. Another masterful gambit, Nico Harrison."
,425,Jabari Walker,SF/PF,PHI,7/30/2002,23.7,413,-12,I've always thought Jabari Walker could work as a role player. He's had moments for Philly.
,426,Jalen Wilson,SF/PF,BKN,11/4/2000,25.5,396,-30,Kind of amazed that Jalen Wilson has made it this long in the NBA - AND done a fine job as a role player.
,427,Marcus Sasser,PG/SG,DET,9/21/2000,25.6,417,-10,"Plain and simple: I don't think Sasser has it as an NBA player. He can be a good scorer, but he can't do much else and he's small."
,428,Myron Gardner,SF/PF,MIA,5/21/2001,24.9,NEW,NEW,The Heat always manage to find one of these guys. Is Myron Gardner one? He's had some OK moments but he's clearly a culture fit at worst.
,429,Kevin Love,PF/C,UTA,9/7/1988,37.6,424,-5,Kevin Love is well out of his prime and will keep on trucking with Utah until his contract is up.
,430,Ariel Hukporti,C,NYK,4/11/2002,24.0,397,-33,Hukporti is just emergency depth right now without a whole lot of upside. I'm concerned about his lower body holding up.
,431,Tyler Burton,SF/PF,MEM,2/11/2000,26.2,NEW,NEW,"This is probably just Silly Season, but I've always had a soft spot for Tyler Burton from his Richmond days. Is he a real NBA player? Probably not."
,432,Olivier Maxence-Prosper,SF/PF,MEM,7/3/2002,23.8,442,10,"OMax has surprised us in actually getting reps this year after largely underwhelming. I don't think he's an NBA player, unfortunately."
,433,Jalen Slawson,SF/PF,IND,10/22/1999,26.5,NEW,NEW,"The sample size is tiny, but Slawson has had some fantasy appeal down the stretch for the Pacers. Always thought he could be a real NBA player."
,434,Dru Smith,SG,MIA,12/30/1997,28.3,419,-15,Dru Smith has looked OK in limited moments for the Heat. Not expecting much of a role moving forward.
,435,Kennedy Chandler,PG,UTA,9/16/2002,23.6,NEW,NEW,"Chandler is too short to ever make it happen as an NBA player, but he can be pretty fun on occasion during Silly Season."
,436,Jalen Pickett,PG/SG,DEN,10/22/1999,26.5,395,-41,"Aside from a few stretches, Pickett has been downright bad and will go down as one of Calvin Booth's worst moves as a GM."
,437,Kenrich Williams,PF/C,OKC,12/2/1994,31.4,406,-31,Kenny Hustle plays a good low-minute role on OKC and does a nice job with the opportunity. He's not a very strong fantasy player but he can do a bit of everything.
,438,Thomas Bryant,C,CLE,7/31/1997,28.7,411,-27,Thomas Bryant has been playing spot big minutes for the Cavs this year. Not a very good player but he can get the stats flowing sometimes.
,439,Keshad Johnson,SF/PF,MIA,6/23/2001,24.8,401,-38,Maybe Johnson can still be something in Miami. Never fully count out an undrafted guy on an Erik Spoelstra-led team.
,440,Taelon Peter,SG,IND,2/27/2002,23.6,438,-2,Taelon Peter is a statistically elite sharpshooter from range and could have some very under-the-radar upside on a team without a lot to play for this year. 
,441,Jahmai Mashack,SG/SF,MEM,11/10/2002,23.43561644,NEW,NEW,"Mashack isn't much of an offensively inclined player, but he is a solid defender and gets a boost from being on the most injured team in the NBA."
,442,Lachlan Olbrich,PF/C,CHI,12/30/2003,21.8,428,-14,"Chicago isn't exactly deep with talent at center, and with Olbrich coming right over to the league, he could earn a role in the long haul. He's got good touch around the rim."
,443,Sharife Cooper,PG/SG,WAS,6/11/2001,24.9,NEW,NEW,Cooper has been playing minutes for the Wizards post-ASB. Not much of an NBA player at this point.
,444,Max Shulga,SG/SF,BOS,6/25/2002,23.8,NEW,NEW,Shulga got his two-way deal converted by Boston. Don't really expect him to stick around on that contract.
,445,Dillon Jones,SF/PF,NYK,10/29/2001,24.5,423,-22,Dillon Jones has been waived and traded in the G League so many times now that it's hard to keep track. Good fantasy game but no translatable NBA skills.
,446,Killian Hayes,PG/SG,SAC,7/27/2001,24.7,NEW,NEW,Hopefully I shouldn't need to tell you Killian Hayes is bad and shouldn't be rostered unless your league is mega deep. There is no NBA future here.
,447,Dalen Terry,PG/SG/SF,PHI,7/12/2002,23.8,415,-32,"Terry hasn't done much to excite at the NBA level. He's just not been able to contribute much of anything, even in a rebuild. He's done as a full-time player."
,448,Juan Nunez,PG,SAS,6/4/2004,21.9,440,-8,It remains to be seen if and when Nunez ever comes over. He has had some concerning knee injuries recently that I'm keeping an eye on.
,449,Larry Nance Jr.,PF/C,CLE,1/1/1993,33.3,414,-35,Nance has hardly played this year and is mostly just a locker room/culture guy. Good to have. He may be out of gas as a legit NBA player.
,450,Branden Carlson,C,OKC,6/14/1999,26.8,441,-9,Carlson has had a great start to his NBA career with a bunch of 10-day contract stints. I think he'll hang around the NBA for a while.
