season,team,player,jersey,pos,height,weight,dob,age,yos,draft,nationality,birthplace,pre_draft,prior_team,contract,fa_year,salary_26_27
2026-27,MIA,Tim Hardaway Jr.,11,G,6'5,205,03/16/92,34.32,13,2013-24,USA,CA - Alameda,Michigan,Denver Nuggets,1 yr / $6.5M,2027,6500000
2026-27,MIA,Keshad Johnson,16,F,6'6,225,06/23/01,25.03,2,2024-ND,USA,CA - Oakland,Arizona,Miami Heat,RFA,,
2026-27,MIA,Nikola Jovic,5,F,6'10,205,06/09/03,23.07,4,2022-27,SRB,England - Leicester,Mega Basket (Serbia),Miami Heat,4 yr / $62.4M,2030,16200000
2026-27,MIA,Trevor Keels,8,G,6'3,215,08/26/03,22.86,2,2022-42,USA,MD - Clinton,Duke,Miami Heat,RFA,,
2026-27,MIA,Pelle Larsson,9,G,6'5,215,02/23/01,25.36,2,2024-44,SWE,Sweden - Stockholm,Arizona,Miami Heat,3 yr / $5.4M,2027,2296271
2026-27,MIA,Davion Mitchell,45,G,6'0,200,09/05/98,27.83,5,2021-09,USA,GA - Hinesville,Baylor,Miami Heat,2 yr / $24M,2027,12400000
2026-27,MIA,Bobby Portis,,F,6'9,250,02/10/95,31.40,11,2015-22,USA,AR - Little Rock,Arkansas,Milwaukee Bucks,3 yr / $43.6M,2027 +1,14521414
2026-27,MIA,Dru Smith,12,G,6'2,205,12/30/97,28.52,4,2021-ND,USA,IN - Evansville,Missouri,Miami Heat,3 yr / $7.9M,2027 +1,2584539
2026-27,MIA,Tre White,,F,6'7,215,01/28/03,23.43,R,2026-ND,USA,TX - Dallas,Kansas,Kansas,Exhibit 10,,
2026-27,MIA,Andrew Wiggins,22,F,6'6,195,02/23/95,31.37,12,2014-01,CAN,Canada - Toronto,Kansas,Miami Heat,4 yr / $109M,2026 +1,30169644
2026-27,MIL,Nate Ament,,F,6'9,210,12/10/06,19.56,R,2026-13,USA,VA - Woodbridge,Tennessee,Tennessee,4 yr / $26M,2028 +2,5503320
2026-27,MIL,Brayden Burries,,G,6'3,215,09/18/05,20.79,R,2026-10,USA,CA - San Bernardino,Arizona,Arizona,4 yr / $29.2M,2028 +2,6418800
2026-27,MIL,Rafael Castro,,C,6'9,225,03/30/03,23.27,R,2026-ND,"DOM, USA",NJ - Dover,George Washington,George Washington,Two-Way,,
2026-27,MIL,Ousmane Dieng,21,C,6'9,185,05/21/03,23.12,4,2022-11,FRA,France - Villeneuve-sur-Lot,New Zealand Breakers (Australia),Milwaukee Bucks,3 yr / $17.5M,2029,5401235
2026-27,MIL,A.J. Green,20,G,6'4,190,09/27/99,26.77,4,2022-ND,USA,IA - Cedar Falls,Northern Iowa,Milwaukee Bucks,4 yr / $45M,2030,10044644
2026-27,MIL,Gary Harris,11,G,6'4,210,09/14/94,31.81,12,2014-19,USA,IN - Fishers,Michigan State,Milwaukee Bucks,2 yr / $7.5M,2027,3815861
2026-27,MIL,Tyler Herro,,G,6'5,195,01/20/00,26.46,7,2019-13,USA,WI - Milwaukee,Kentucky,Miami Heat,4 yr / $120M,2027,33000000
2026-27,MIL,Kasparas Jakucionis,6,G,6'5,200,05/29/06,20.10,1,2025-20,LTU,Lithuania - Vilnius,Illinois,Miami Heat,4 yr / $17.7M,2027 +2,3841680
2026-27,MIL,Jaime Jaquez Jr.,,F,6'6,225,02/18/01,25.38,3,2023-18,USA,CA - Irvine,UCLA,Miami Heat,4 yr / $17M,2027,5939141
2026-27,MIL,Kyle Kuzma,18,F,6'8,220,07/24/95,30.95,9,2017-27,USA,MI - Flint,Utah,Milwaukee Bucks,4 yr / $90M,2027,20490152
2026-27,MIL,Malique Lewis,19,F,6'8,195,11/10/04,21.65,R,2026-60,"TTO, ESP",Trinidad - San Fernando,South East Melbourne (Australia),South East Melbourne (Australia),2nd Rd Pick,,
2026-27,MIL,Bogoljub Markovic,23,F,6'11,210,07/12/05,20.99,R,2025-47,SRB,Serbia - Uzice,Mega Basket (Serbia),Mega Basket (Serbia),4 yr / $9.3M,2029 +1,1357763
2026-27,MIL,Kevin Porter Jr.,7,G,6'5,205,05/04/00,26.17,6,2019-30,USA,WA - Seattle,USC,Milwaukee Bucks,2 yr / $10.5M,2027,5390700
2026-27,MIL,Taurean Prince,12,F,6'6,220,03/22/94,32.29,10,2016-12,USA,TX - San Marcos,Baylor,Milwaukee Bucks,2 yr / $7.1M,2027,3815861
2026-27,MIL,Ryan Rollins,13,G,6'3,180,07/03/02,24.01,4,2022-44,USA,MI - Macomb,Toledo,Milwaukee Bucks,3 yr / $12M,2027 +1,4000000
2026-27,MIL,Cormac Ryan,30,G,6'5,195,10/26/98,27.69,1,2024-ND,USA,NY - New York City,North Carolina,Milwaukee Bucks,Two-Way,,
2026-27,MIL,Jericho Sims,00,C,6'10,250,10/20/98,27.71,5,2021-58,USA,MN - Minneapolis,Texas,Milwaukee Bucks,2 yr / $5.3M,2027,2801346
2026-27,MIL,Gary Trent Jr.,,G,6'5,209,01/18/99,27.48,7,2018-37,USA,OH - Hudson,Duke,Milwaukee Bucks,UFA,,
2026-27,MIL,Myles Turner,3,C,6'11,250,03/24/96,30.28,11,2015-11,USA,TX - Bedford,Texas,Milwaukee Bucks,4 yr / $109M,2028 +1,26584164
2026-27,MIL,Kel'el Ware,,C,7'0,230,04/20/04,22.21,2,2024-15,USA,AR - North Little Rock,Indiana,Miami Heat,4 yr / $20.5M,2027 +1,4654920
2026-27,MIN,LaMelo Ball,,G,6'7,180,08/22/01,24.87,6,2020-03,USA,CA - Anaheim,Illawarra (Australia),Charlotte Hornets,5 yr / $204M,2029,40770520
2026-27,MIN,Joan Beringer,19,F,6'11,230,11/01/06,19.67,1,2025-17,"FRA, BEN",France - Selestat,Cedevita (Slovenia),Minnesota Timberwolves,4 yr / $20.3M,2027 +2,4411200
2026-27,MIN,Jaylen Clark,22,G,6'5,205,10/13/01,24.73,2,2023-53,USA,CA - Riverside,UCLA,Minnesota Timberwolves,3 yr / $10M,2029,3086420
2026-27,MIN,Donte DiVincenzo,0,G,6'4,205,01/31/97,29.43,8,2018-17,USA,DE - Newark,Villanova,Minnesota Timberwolves,4 yr / $46.9M,2027,12535000
2026-27,MIN,Ayo Dosunmu,13,G,6'4,200,01/17/00,26.47,5,2021-38,USA,IL - Chicago,Illinois,Minnesota Timberwolves,5 yr / $112M,2031,19310345
2026-27,MIN,Anthony Edwards,5,G,6'4,225,08/05/01,24.92,6,2020-01,USA,GA - Atlanta,Georgia,Minnesota Timberwolves,5 yr / $245M,2029,48924624
2026-27,MIN,Isaiah Evans,33,G,6'5,185,12/06/05,20.58,R,2026-33,USA,NC - Fayetteville,Duke,Duke,2nd Rd Pick,,
2026-27,MIN,Enrique Freeman,25,F,6'9,220,07/29/00,25.93,2,2024-50,USA,OH - Cleveland,Akron,Minnesota Timberwolves,RFA,,
2026-27,MIN,Rudy Gobert,27,C,7'1,260,06/26/92,34.03,13,2013-27,FRA,France - Saint-Quentin,Cholet (France),Minnesota Timberwolves,3 yr / $110M,2027 +1,36500000
2026-27,MIN,Josh Green,,G,6'6,200,11/16/00,25.63,6,2020-18,AUS,Australia - Sydney,Arizona,Charlotte Hornets,3 yr / $41M,2027,14679012
2026-27,MIN,Mouhamadou Gueye,,F,6'9,210,07/06/98,28.00,2,2022-ND,USA,NY - Staten Island,Pittsburgh,Chicago Bulls,2 yr / $2.5M,2027,2411090
2026-27,MIN,Bones Hyland,8,G,6'2,170,09/14/00,25.82,5,2021-26,USA,DE - Wilmington,VCU,Minnesota Timberwolves,1 yr / $2.8M,2027,2845883
2026-27,MIN,Trey Kaufman-Renn,14,F,6'7,240,08/19/02,23.88,R,2026-59,USA,IN - Sellersburg,Purdue,Purdue,2nd Rd Pick,,
2026-27,MIN,Trey Lyles,,F,6'9,235,11/05/95,30.68,10,2015-12,"CAN, USA",Canada - Saskatoon,Kentucky,Real Madrid (Spain),1 yr / $3.9M,2027,3876529
2026-27,MIN,Jaden McDaniels,3,F,6'9,185,09/29/00,25.76,6,2020-28,USA,WA - Federal Way,Washington,Minnesota Timberwolves,5 yr / $131M,2029,26200000
2026-27,MIN,Zyon Pullin,15,G,6'4,205,03/03/01,25.34,2,2024-ND,USA,CA - Pleasant Hill,Florida,Minnesota Timberwolves,Two-Way,,
2026-27,MIN,Terrence Shannon Jr.,1,G,6'6,215,07/30/00,25.93,2,2024-27,USA,IL - Chicago,Illinois,Minnesota Timberwolves,4 yr / $13.1M,2027 +1,2801640
2026-27,MIN,Rocco Zikarsky,44,C,7'3,225,07/11/06,19.98,1,2025-45,AUS,Australia - Sunshine Coast,Brisbane (Australia),Minnesota Timberwolves,Two-Way,,
2026-27,NOR,Chris Bell,,F,6'7,195,02/16/03,23.38,R,2026-ND,USA,CA - Concord,California,California,Exhibit 10,,
2026-27,NOR,Saddiq Bey,41,F,6'8,215,04/09/99,27.24,5,2020-19,USA,NC - Charlotte,Villanova,New Orleans Pelicans,3 yr / $19M,2027,6557080
2026-27,NOR,Melvin Council Jr.,,G,6'4,185,04/23/02,24.20,R,2026-ND,USA,NY - Rochester,Kansas,Kansas,Exhibit 10,,
2026-27,NOR,Hunter Dickinson,4,C,7'1,255,11/25/00,25.61,1,2025-ND,USA,VA - Alexandria,Kansas,New Orleans Pelicans,RFA,,
2026-27,NOR,Jeremiah Fears,0,G,6'3,190,10/14/06,19.72,1,2025-07,USA,IL - Chicago,Oklahoma,New Orleans Pelicans,4 yr / $34.2M,2027 +2,7896240
2026-27,NOR,Jordan Hawkins,24,G,6'5,190,04/29/02,24.18,3,2023-14,USA,MD - Gaithersburg,Connecticut,New Orleans Pelicans,4 yr / $20.6M,2027,7021895
2026-27,NOR,Herb Jones,2,F,6'7,205,10/06/98,27.75,5,2021-35,USA,AL - Greensboro,Alabama,New Orleans Pelicans,3 yr / $67.6M,2029 +1,14898786
2026-27,NOR,DeAndre Jordan,6,C,6'11,265,07/21/88,37.98,18,2008-35,USA,TX - Houston,Texas A&M,New Orleans Pelicans,1 yr / $3.9M,2027,3876529
2026-27,NOR,Karlo Matkovic,17,F,6'10,230,03/30/01,25.27,2,2022-52,"CRO, BIH",Bosnia - Livno,Mega Basket (Serbia),New Orleans Pelicans,2 yr / $5.4M,2027,2296271
2026-27,NOR,Yves Missi,21,C,6'11,235,05/14/04,22.14,2,2024-21,CMR,Belgium - Brussels,Baylor,New Orleans Pelicans,4 yr / $15.7M,2027 +1,3512760
2026-27,NOR,Trey Murphy III,25,F,6'8,205,06/18/00,26.05,5,2021-17,USA,NC - Durham,Virginia,New Orleans Pelicans,4 yr / $112M,2029,27000000
2026-27,NOR,Dejounte Murray,5,G,6'4,180,09/19/96,29.79,9,2016-29,USA,WA - Seattle,Washington,New Orleans Pelicans,4 yr / $114M,2027 +1,32785071
2026-27,NOR,Josh Oduro,13,F,6'9,240,10/14/00,25.72,1,2024-ND,USA,VA - Gainesville,Providence,New Orleans Pelicans,RFA,,
2026-27,NOR,Micah Peavy,14,G,6'7,215,07/16/01,24.97,1,2025-40,USA,TX - Cibolo,Georgetown,New Orleans Pelicans,4 yr / $8.7M,2028 +1,2150917
2026-27,NOR,Jaron Pierre Jr.,10,F,6'6,210,07/12/02,23.98,R,2026-58,USA,LA - New Orleans,Southern Methodist,Southern Methodist,2nd Rd Pick,,
2026-27,NOR,Jordan Poole,3,G,6'4,195,06/19/99,27.05,7,2019-28,USA,WI - Milwaukee,Michigan,New Orleans Pelicans,4 yr / $128M,2027,34044642
2026-27,NOR,Derik Queen,22,C,6'9,250,12/27/04,21.52,1,2025-13,USA,MD - Baltimore,Maryland,New Orleans Pelicans,4 yr / $24.4M,2027 +1,5416000
2026-27,NOR,Zion Williamson,1,F,6'6,285,07/06/00,26.00,6,2019-01,USA,NC - Salisbury,Duke,New Orleans Pelicans,5 yr / $197M,2028,42166510
2026-27,NYK,Jose Alvarado,5,G,6'0,180,04/12/98,28.24,5,2021-ND,USA,NY - Brooklyn,Georgia Tech,New York Knicks,3 yr / $14M,2029,4500000
2026-27,NYK,OG Anunoby,8,F,6'7,240,07/17/97,28.97,9,2017-23,ENG,England - London,Indiana,New York Knicks,5 yr / $213M,2028 +1,42500000
2026-27,NYK,Mikal Bridges,25,F,6'6,210,08/30/96,29.85,8,2018-10,USA,PA - Philadelphia,Villanova,New York Knicks,4 yr / $150M,2029 +1,33482145
2026-27,NYK,Jalen Brunson,11,G,6'2,190,08/31/96,29.85,8,2018-33,USA,NJ - New Brunswick,Villanova,New York Knicks,4 yr / $157M,2028 +1,37739221
2026-27,NYK,Jordan Clarkson,,G,6'5,194,06/07/92,34.10,12,2014-46,USA,NV - Las Vegas,Missouri,New York Knicks,1 yr / $3.9M,2027,3880000
2026-27,NYK,Pacome Dadiet,4,G,6'9,210,07/27/05,20.94,2,2024-25,FRA,France - Aubagne,Ratiopharm Ulm (Germany),New York Knicks,4 yr / $13M,2027 +1,2983680
2026-27,NYK,Mohamed Diawara,51,F,6'9,225,04/29/05,21.18,1,2025-51,FRA,France - Paris,Cholet (France),New York Knicks,4 yr / $10M,2030,2232143
2026-27,NYK,Andre Drummond,,C,6'11,280,08/10/93,32.92,14,2012-09,USA,NY - Mount Vernon,Connecticut,Philadelphia 76ers,1 yr / $3.9M,2027,3876529
2026-27,NYK,Josh Hart,3,F,6'5,205,03/06/95,31.34,8,2017-30,USA,WI - Silver Spring,Villanova,New York Knicks,4 yr / $80.9M,2027 +1,20923760
2026-27,NYK,Trey Jemison,50,C,6'10,270,11/28/99,26.61,2,2023-ND,USA,AL - Birmingham,Alabama-Birmingham,New York Knicks,RFA,,
2026-27,NYK,Dillon Jones,1,F,6'5,235,10/29/01,24.68,2,2024-26,USA,SC - Columbia,Weber State,New York Knicks,RFA,,
2026-27,NYK,Jack Kayil,,G,6'3,175,01/27/06,20.44,R,2026-39,GER,Germany - Berlin,Alba Berlin (Germany),Alba Berlin (Germany),2nd Rd Pick,,
2026-27,NYK,Tyler Kolek,13,G,6'2,195,03/27/01,25.28,2,2024-34,USA,RI - Providence,Marquette,New York Knicks,4 yr / $9.1M,2027 +1,2296271
2026-27,NYK,Miles McBride,2,G,6'2,195,09/08/00,25.82,5,2021-36,USA,OH - Cincinnati,West Virginia,New York Knicks,3 yr / $13M,2027,3956523
2026-27,NYK,Kevin McCullar Jr.,9,F,6'6,210,03/15/01,25.31,2,2024-56,USA,TX - San Antonio,Kansas,New York Knicks,RFA,,
2026-27,NYK,Tyler Nickel,,F,6'6,215,09/05/03,22.83,R,2026-47,USA,VA - Harrisonburg,Vanderbilt,Vanderbilt,2nd Rd Pick,,
2026-27,NYK,Karl-Anthony Towns,32,C,7'0,250,11/15/95,30.64,11,2015-01,USA,NJ - Edison,Kentucky,New York Knicks,4 yr / $220M,2027 +1,57078728
2026-27,OKC,Brooks Barnhizer,23,G,6'5,230,03/02/02,24.35,1,2025-44,USA,IN - Lafayette,Northwestern,Oklahoma City Thunder,Two-Way,,
2026-27,OKC,Alex Caruso,9,G,6'5,185,02/28/94,32.36,9,2016-ND,USA,TX - College Station,Texas A&M,Oklahoma City Thunder,4 yr / $81.1M,2029,19550160
2026-27,OKC,Josh Dix,21,G,6'6,210,06/29/04,22.02,R,2026-ND,USA,IL - Council Bluffs,Creighton,Creighton,Two-Way,,
2026-27,OKC,Luguentz Dort,5,F,6'4,200,04/19/99,27.22,7,2019-ND,CAN,Canada - Montreal,Arizona State,Oklahoma City Thunder,5 yr / $82.5M,2027,18222222
2026-27,OKC,Shai Gilgeous-Alexander,2,G,6'6,195,07/02/98,28.01,8,2018-11,CAN,Canada - Toronto,Kentucky,Oklahoma City Thunder,4 yr / $272M,2030 +1,40806150
2026-27,OKC,Isaiah Hartenstein,55,C,7'0,250,05/05/98,28.17,8,2017-43,USA,OH - Eugene,Zalgiris (Lithuania),Oklahoma City Thunder,3 yr / $75M,2029,28500000
2026-27,OKC,Chet Holmgren,7,F,7'1,210,05/01/02,24.18,3,2022-02,USA,MN - Minneapolis,Gonzaga,Oklahoma City Thunder,5 yr / $239M,2031,41250000
2026-27,OKC,Nate Johnson,31,G,6'3,205,06/16/03,23.05,R,2026-ND,USA,OH - Middletown,Kansas State,Kansas State,Exhibit 10,,
2026-27,OKC,Aday Mara,15,C,7'3,260,04/07/05,21.24,R,2026-06,ESP,Spain - Zaragoza,Michigan,Michigan,4 yr / $27M,2028 +2,5793000
2026-27,OKC,Jared McCain,3,G,6'3,195,02/20/04,22.37,2,2024-16,USA,CA - Sacramento,Duke,Oklahoma City Thunder,4 yr / $19.4M,2027 +1,4422600
2026-27,OKC,Ajay Mitchell,25,G,6'4,190,06/25/02,24.03,2,2024-38,BEL,Belgium - Ans,UC Santa Barbara,Oklahoma City Thunder,3 yr / $8.7M,2027 +1,2850000
2026-27,OKC,Otega Oweh,13,G,6'4,215,06/21/03,23.04,R,2026-41,USA,NJ - Newark,Kentucky,Kentucky,2nd Rd Pick,,
2026-27,OKC,Thomas Sorber,12,C,6'9,250,12/25/05,20.33,R,2025-52,USA,NJ - Trenton,Georgetown,Oklahoma City Thunder,4 yr / $22.5M,2027 +2,4887720
2026-27,OKC,Bennett Stirtz,14,G,6'2,185,10/03/03,22.76,R,2026-16,USA,MO - Liberty,Iowa,Iowa,4 yr / $22.8M,2028 +2,4718400
2026-27,OKC,Nikola Topic,44,G,6'6,200,08/10/05,20.90,1,2024-12,SRB,Serbia - Novi Sad,Mega Basket (Serbia),Oklahoma City Thunder,4 yr / $23M,2027 +1,5429760
2026-27,OKC,Cason Wallace,22,G,6'3,195,11/07/03,22.67,3,2023-10,USA,TX - Dallas,Kentucky,Oklahoma City Thunder,4 yr / $24.1M,2027,7420806
2026-27,OKC,Lamar Wilkerson,42,F,6'6,205,11/17/01,24.63,R,2026-ND,USA,AR - Ashdown,Indiana,Indiana,Exhibit 10,,
2026-27,OKC,Jalen Williams,8,G,6'5,210,04/14/01,25.23,4,2022-12,USA,CO - Denver,Santa Clara,Oklahoma City Thunder,5 yr / $239M,2031,41250000
2026-27,OKC,Jaylin Williams,6,F,6'9,240,06/29/02,24.02,4,2022-34,USA,AR - Fort Smith,Arkansas,Oklahoma City Thunder,3 yr / $74.6M,2027 +1,7774648
2026-27,OKC,Kenrich Williams,34,F,6'7,210,12/02/94,31.61,8,2018-ND,USA,TX - Waco,TCU,Oklahoma City Thunder,1 yr / $5M,2027,5000000
2026-27,ORL,Paolo Banchero,5,F,6'10,250,11/12/02,23.65,4,2022-01,USA,WA - Seattle,Duke,Orlando Magic,5 yr / $239M,2030 +1,51250000
2026-27,ORL,Desmond Bane,3,G,6'6,215,06/25/98,28.03,6,2020-30,USA,IN - Richmond,TCU,Orlando Magic,5 yr / $197M,2029,39446090
2026-27,ORL,Goga Bitadze,35,C,6'11,250,07/20/99,26.96,7,2019-18,GEO,Georgia - Sagarejo,Buducnost (Montenegro),Orlando Magic,3 yr / $25M,2027,7608696
2026-27,ORL,Anthony Black,0,G,6'7,200,01/20/04,22.46,3,2023-06,USA,TX - Irving,Arkansas,Orlando Magic,4 yr / $32.9M,2027,10106316
2026-27,ORL,Jamal Cain,8,F,6'7,190,03/20/99,27.30,4,2022-ND,USA,MI - Pontiac,Oakland University,Orlando Magic,2 yr / $2.9M,2027,2584539
2026-27,ORL,Jevon Carter,2,G,6'0,200,09/14/95,30.82,8,2018-32,USA,IL - Maywood,West Virginia,Orlando Magic,1 yr / $3.5M,2027,3506659
2026-27,ORL,Wendell Carter Jr.,34,C,6'10,270,04/16/99,27.22,8,2018-07,USA,GA - Atlanta,Duke,Orlando Magic,3 yr / $58.7M,2028 +1,18102000
2026-27,ORL,Colin Castleton,14,C,6'10,255,05/25/00,26.12,3,2023-ND,USA,FL - Pembroke Pines,Florida,Orlando Magic,Two-Way,,
2026-27,ORL,Tristan Da Silva,23,F,6'8,215,05/15/01,25.14,4,2024-18,"GER, BRA",Germany - Munich,Colorado,Orlando Magic,4 yr / $17.6M,2027 +1,3991200
2026-27,ORL,Jonathan Isaac,1,F,6'10,230,10/03/97,28.77,7,2017-06,USA,NY - Bronx,Florida State,Orlando Magic,1 yr / $3.5M,2027,3524115
2026-27,ORL,Alex Morales,30,G,6'6,180,11/21/97,28.62,1,2022-ND,USA,NJ - Paterson,Wagner,Orlando Magic,Two-Way,,
2026-27,ORL,Izaiyah Nelson,25,F,6'8,220,10/01/03,22.76,R,2026-51,USA,GA - Marietta,South Florida,South Florida,Two-Way,,
2026-27,ORL,Noah Penda,93,F,6'7,215,01/07/05,21.49,1,2025-32,FRA,France - Paris,Le Mans (France),Orlando Magic,4 yr / $8.7M,2028 +1,2150917
2026-27,ORL,Malik Reneau,42,F,6'9,230,04/01/03,23.26,R,2026-ND,USA,FL - Hialeah Gardens,Miami (FL),Miami (FL),Exhibit 10,,
2026-27,ORL,Jase Richardson,11,G,6'1,180,10/16/03,20.72,1,2025-35,USA,CA - Berkeley,Michigan State,Orlando Magic,4 yr / $15.3M,2027 +2,3132360
2026-27,ORL,Jalen Suggs,4,G,6'5,205,06/03/01,25.09,5,2021-05,USA,MN - Saint Paul,Gonzaga,Orlando Magic,5 yr / $151M,2030,32400000
2026-27,ORL,Nikola Vucevic,9,C,6'9,260,10/24/90,35.72,15,2011-16,MNE,Switzerland - Morges,USC,Boston Celtics,1 yr / $3.9M,2027,3876529
2026-27,ORL,Franz Wagner,22,F,6'10,220,08/27/01,24.86,5,2021-08,GER,Germany - Berlin,Michigan,Orlando Magic,5 yr / $224M,2030,41754690
2026-27,PHI,Dominick Barlow,25,F,6'9,215,03/26/03,23.11,4,2022-ND,USA,NJ - Hackensack,Team Overtime (Overtime Elite),Philadelphia 76ers,2 yr / $6.8M,2027,3415000
2026-27,PHI,MarJon Beauchamp,16,F,6'7,200,10/12/00,25.73,4,2022-24,USA,WA - Yakima,G League Ignite,Philadelphia 76ers,RFA,,
2026-27,PHI,Adem Bona,30,C,6'10,235,03/28/03,23.27,2,2024-41,"NGR, TUR",Nigeria - Lagos,UCLA,Philadelphia 76ers,4 yr / $7.9M,2027 +1,2296271
2026-27,PHI,Johni Broome,22,C,6'10,235,07/19/02,23.96,1,2025-35,USA,FL - Plant City,Auburn,Philadelphia 76ers,4 yr / $8.7M,2028 +1,2150917
2026-27,PHI,Jaylen Brown,,F,6'6,225,10/24/96,29.71,10,2016-03,USA,GA - Marietta,California,Boston Celtics,5 yr / $285M,2029,57078728
2026-27,PHI,VJ Edgecombe,77,G,6'4,180,07/30/05,20.93,1,2025-03,BAH,Bahamas - Bimini,Baylor,Philadelphia 76ers,4 yr / $50.4M,2027 +2,11663880
2026-27,PHI,Justin Edwards,11,F,6'7,205,12/16/03,22.55,2,2024-ND,USA,PA - Philadelphia,Kentucky,Philadelphia 76ers,3 yr / $7.1M,2027 +1,2411090
2026-27,PHI,Joel Embiid,21,C,7'0,280,03/16/94,32.31,10,2014-03,"CMR, USA",Cameroon - Yaounde,Kansas,Philadelphia 76ers,3 yr / $188M,2028 +1,57985752
2026-27,PHI,Ariel Hukporti,,C,7'0,245,04/12/02,24.24,2,2024-58,GER,Germany - Stralsund,Ludwigsburg (Germany),New York Knicks,1 yr / $3.4M,2027,3400000
2026-27,PHI,Caleb Love,,G,6'3,210,09/27/01,24.78,1,2025-ND,USA,MO - St. Louis,Arizona,Portland Trail Blazers,Two-Way,,
2026-27,PHI,Tyrese Martin,23,G,6'6,215,03/07/99,27.33,5,2022-51,USA,PA - Allentown,Connecticut,Philadelphia 76ers,RFA,,
2026-27,PHI,Tyrese Maxey,0,G,6'2,200,11/04/00,25.67,6,2020-21,USA,TX - Dallas,Kentucky,Philadelphia 76ers,5 yr / $204M,2029,40770520
2026-27,PHI,Duke Miles,,G,6'0,180,02/03/02,24.42,R,2026-ND,USA,AL - Montgomery,Vanderbilt,Vanderbilt,Exhibit 10,,
2026-27,PHI,Labaron Philon Jr.,00,G,6'2,175,11/24/05,20.61,R,2026-22,USA,AL - Mobile,Alabama,Alabama,4 yr / $17.8M,2028 +2,3597960
2026-27,PHI,Rayan Rupert,,G,6'7,205,05/31/04,22.10,3,2023-43,FRA,France - Strasbourg,New Zealand Breakers (Australia),Memphis Grizzlies,Two-Way,,
2026-27,PHI,Anfernee Simons,,G,6'3,200,06/08/99,27.09,8,2018-24,USA,FL - Longwood,IMG Academy (HS - FL),Chicago Bulls,2 yr / $12.3M,2028,
2026-27,PHI,Dalen Terry,14,G,6'6,195,07/12/02,23.98,4,2022-18,USA,AZ - Phoenix,Arizona,Philadelphia 76ers,2 yr / $2.7M,2027,2584539
2026-27,PHI,Dean Wade,,F,6'9,230,11/20/96,29.64,7,2019-ND,USA,KS - Wichita,Kansas State,Cleveland Cavaliers,4 yr / $39M,2030,9069767
2026-27,PHI,Jabari Walker,33,F,6'7,235,07/30/02,23.94,4,2022-57,USA,KS - Wichita,Colorado,Philadelphia 76ers,2 yr / $3.3M,2027,2584539
2026-27,PHO,Devin Booker,15,G,6'5,205,10/30/96,29.68,11,2015-13,USA,MI - Grand Rapids,Kentucky,Phoenix Suns,2 yr / $132M,2029 +1,57078728
2026-27,PHO,Jamaree Bouyea,17,G,6'2,180,06/27/99,27.03,4,2022-ND,USA,CA - Seaside,San Francisco,Phoenix Suns,2 yr / $3.2M,2027,2584539
2026-27,PHO,Koby Brea,14,G,6'5,215,11/06/02,23.66,1,2025-41,USA,NY - New York City,Kentucky,Phoenix Suns,RFA,,
2026-27,PHO,Miles Bridges,,F,6'7,225,03/21/98,28.30,7,2018-12,USA,MI - Flint,Michigan State,Charlotte Hornets,3 yr / $75M,2027,22826087
2026-27,PHO,Dillon Brooks,3,F,6'7,235,01/22/96,30.46,9,2017-45,CAN,Canada - Mississauga,Oregon,Phoenix Suns,4 yr / $86M,2027,20992727
2026-27,PHO,Corey Camper Jr.,,G,6'5,185,04/17/02,24.22,R,2026-ND,USA,AR - Little Rock,Nevada,Nevada,Exhibit 10,,
2026-27,PHO,Ryan Dunn,0,F,6'7,215,01/07/03,23.49,2,2024-ND,USA,NV - Baldwin,Virginia,Phoenix Suns,4 yr / $13M,2027 +1,2784240
2026-27,PHO,Rasheer Fleming,20,F,6'9,240,07/10/04,21.99,1,2025-31,USA,NJ - Camden,Saint Joseph's,Phoenix Suns,4 yr / $8.7M,2028 +1,2150917
2026-27,PHO,Collin Gillespie,12,G,6'1,195,06/25/99,27.03,3,2025-23,USA,PA - Philadelphia,Villanova,Phoenix Suns,4 yr / $8.8M,2030,4338000
2026-27,PHO,Jordan Goodwin,23,G,6'3,215,10/23/98,27.70,5,2021-50,USA,IL - Cartersville,Saint Louis,Phoenix Suns,3 yr / $19M,2029,5864198
2026-27,PHO,Jalen Green,4,G,6'4,185,02/09/02,24.40,5,2021-02,USA,CA - Merced,G League Ignite,Phoenix Suns,3 yr / $105M,2027 +1,36251166
2026-27,PHO,Haywood Highsmith,,F,6'6,220,01/09/98,28.51,3,2019-ND,USA,FL - Miami,Wheeling,Phoenix Suns,1 yr / $3.0M,2027,3018158
2026-27,PHO,Sam Hoiberg,,G,6'0,185,03/21/03,23.29,R,2026-ND,USA,IL - Chicago,Nebraska,Nebraska,Exhibit 10,,
2026-27,PHO,C.J. Huntley,22,F,6'11,230,01/06/02,24.50,1,2025-ND,USA,NC - Huntersville,Appalachian State,Phoenix Suns,Two-Way,,
2026-27,PHO,Oso Ighodaro,11,C,6'11,235,07/14/02,23.98,2,2024-40,USA,AZ - Mesa,Marquette,Phoenix Suns,4 yr / $7.9M,2028,2296271
2026-27,PHO,Luke Kennard,,G,6'5,205,06/24/96,30.04,9,2017-12,USA,OH - Middletown,Duke,Los Angeles Lakers,2 yr / $13M,2027 +1,6368000
2026-27,PHO,Isaiah Livers,18,F,6'6,230,07/28/98,27.94,4,2021-42,USA,MI - Kalamazoo,Michigan,Phoenix Suns,RFA,,
